id,address,enabled,date_added,date_modified,comment,date_updated,number,invalid_domains,status
1,https://raw.githubusercontent.com/StevenBlack/hosts/master/hosts,1,1593835676,1593835676,"Migrated from /etc/pihole/adlists.list",1628569592,87069,0,1
3,http://sysctl.org/cameleon/hosts,1,1593835676,1593835676,"Migrated from /etc/pihole/adlists.list",1619119396,20566,0,2
5,https://s3.amazonaws.com/lists.disconnect.me/simple_tracking.txt,1,1593835676,1593835676,"Migrated from /etc/pihole/adlists.list",1619119403,34,0,2
6,https://s3.amazonaws.com/lists.disconnect.me/simple_ad.txt,1,1593835676,1593835676,"Migrated from /etc/pihole/adlists.list",1619119404,2701,0,2
8,https://blocklist.site/app/dl/facebook,0,1593835676,1618729136,"Migrated from /etc/pihole/adlists.list",1618719549,0,0,0
9,https://block.energized.pro/porn/formats/hosts.txt,0,1596561324,1599984776,"Adult Content Blocker",,0,0,0
10,https://antslovesoda.xyz/wn8w3Nok4TaY3j4oxoGakI0ISF1Lt5s63agl5z3qDogrJebh1yr4JdGyCmoWUagE.txt,0,1599984789,1623013221,,1619119412,351014,0,2
11,https://raw.githubusercontent.com/mhhakim/pihole-blocklist/master/list.txt,0,1601934222,1603394392,,,0,0,0
12,https://v.firebog.net/hosts/Admiral.txt,1,1613373451,1613373451,,1619119412,662,0,2
13,https://dbl.oisd.nl/,1,1614930056,1614930056,,1628569736,925210,0,1
14,https://raw.githubusercontent.com/jjjxu/NSO_Pegasus_Blocklist/master/Pegasus-Hosts-Formatted.txt,1,1628569562,1628569562,"Alleged Pegasus List",1628569737,1406,0,1
